Date,Close,High,Low,Open,SMA_20,SMA_50,SMA_200,StdDev_20,Upper,Lower,RSI,EMA_12,EMA_26,MACD,Signal,MACD_Histogram
2023-05-01,12212.599609375,12261.3203125,12181.080078125,12210.0498046875,12080.421484375,11799.12103515625,11485.891225585938,114.223856548314,12308.869197471628,11851.973771278372,58.77848262073968,12077.985720721876,11999.864101307,78.12161941487648,84.55578522775704,-6.434165812880565
2023-05-02,12080.509765625,12206.580078125,12015.23046875,12198.01953125,12074.974462890625,11804.98583984375,11489.031674804688,111.31133337448222,12297.59712963959,11852.35179614166,53.149712072169514,12078.374035322357,12005.837854219444,72.53618110291245,82.15186440278814,-9.615683299875684
2023-05-03,12025.330078125,12212.5498046875,12022.4599609375,12097.0400390625,12069.924462890625,11815.6464453125,11492.358076171875,111.14977129913784,12292.2240054889,11847.62492029235,50.95452068958117,12070.213426522763,12007.281722656893,62.93170386587008,78.30783229540452,-15.376128429534447
2023-05-04,11966.400390625,12033.150390625,11925.3701171875,11997.33984375,12068.40146484375,11824.833046875,11493.624326171876,112.4051975410107,12293.21185992577,11843.59106976173,48.64384521024529,12054.2421902308,12004.253475839716,49.988714391083704,72.64400871454036,-22.65529432345666
2023-05-05,12235.41015625,12264.830078125,12065.7197265625,12073.0302734375,12075.773974609376,11837.7332421875,11495.313125,118.42962166827405,12312.633217945924,11838.914731272827,58.00575767962328,12082.114185002984,12021.376192907144,60.73799209583922,70.26280539080014,-9.524813294960921
2023-05-08,12256.919921875,12264.990234375,12178.259765625,12231.6796875,12084.401953125,11854.97283203125,11496.299672851563,125.18138808977241,12334.764729304545,11834.039176945455,58.654765385493256,12109.007375290987,12038.823876534394,70.1834987565926,70.24694406395864,-0.06344530736603815
2023-05-09,12179.5498046875,12216.1298828125,12174.0595703125,12195.7802734375,12091.78544921875,11869.22421875,11498.026870117188,126.27068752928926,12344.32682427733,11839.244074160171,55.34166507703611,12119.860056736603,12049.24801936055,70.6120373760532,70.31996272637755,0.2920746496756408
2023-05-10,12306.4404296875,12337.6904296875,12180.8603515625,12286.66015625,12110.640478515625,11886.2422265625,11500.64572265625,128.86536984519628,12368.371218206017,11852.909738825232,59.39278799855037,12148.56472949828,12068.2993090144,80.26542048388,72.30905427787805,7.9563662060019595
2023-05-11,12328.509765625,12347.3798828125,12255.4404296875,12321.259765625,12118.752490234376,11905.2228125,11504.475419921875,137.37687835722718,12393.50624694883,11843.998733519922,60.071215426319206,12176.248581210082,12087.574157652221,88.67442355786079,75.5821281338746,13.092295423986187
2023-05-12,12284.740234375,12364.650390625,12209.580078125,12350.51953125,12126.816015625,11921.6580078125,11505.737021484376,142.31266494813278,12411.441345521265,11842.190685728734,58.00151782349124,12192.939604773917,12102.179052224279,90.7605525496383,78.61781301702734,12.14273953261096
